id,set_id,worker_id,description,first,second,third,first_addr,second_addr,third_addr
1,15,2,Which rowing picture is coolest?,63,64,65,https://s3.amazonaws.com/popop-uploads/8e3940844ccb46e2bfa6f1491d1a21a4.jpeg,https://s3.amazonaws.com/popop-uploads/7cd2383df5cd49a9a9f77ff9d36b1153.jpeg,https://s3.amazonaws.com/popop-uploads/4ab25995a93748cd9b3ed7f2fa36d70e.jpeg
2,24,2,Which school delivers the best quality of education?,92,90,91,https://s3.amazonaws.com/popop-uploads/3246a19e51034d948a09a8e7b181ed45.png,https://s3.amazonaws.com/popop-uploads/3796c1f90c1d49c4981fbdc0d6887a3a.png,https://s3.amazonaws.com/popop-uploads/d26298a89866454aaff76def409410e5.png
3,7,3,Best CIS professor,30,29,31,https://s3.amazonaws.com/popop-uploads/c59bde512c3640338c7426edc1f008d0.jpeg,https://s3.amazonaws.com/popop-uploads/64d8de8847d94bcba772be00ec289bb1.jpeg,https://s3.amazonaws.com/popop-uploads/daa1d8896ef64e108ff803e7fbe20df4.jpeg
4,22,4,Which puppy is the cutest?,85,86,84,https://s3.amazonaws.com/popop-uploads/851d19b3f48e4a82b1dfc5060a11b384.jpeg,https://s3.amazonaws.com/popop-uploads/fbd1cae224524674b2741a87e31e563f.jpeg,https://s3.amazonaws.com/popop-uploads/172d15eacb9c441697c26c8954e52967.jpeg
5,2,4,CATS CATS CATS,8,7,9,https://raw.githubusercontent.com/gmosley/PopOp/master/data/aggregation/photos/cat4.jpg,https://raw.githubusercontent.com/gmosley/PopOp/master/data/aggregation/photos/cat3.jpg,https://raw.githubusercontent.com/gmosley/PopOp/master/data/aggregation/photos/cat5.jpg
6,8,4,Most representative picture of Penn,32,36,34,https://s3.amazonaws.com/popop-uploads/bcce04d26d1d436b8a2eceaeba2d597f.jpeg,https://s3.amazonaws.com/popop-uploads/a29ef9fec0834dd3a3d6cfe5b68d039a.jpeg,https://s3.amazonaws.com/popop-uploads/a59adc7355084b5397e78f676db45ed6.jpeg
7,31,4,sort by how beautiful you think the photo is,129,124,132,https://s3.amazonaws.com/popop-uploads/b5dfd3e1f1b94565a7996bfe6eda1fa6.jpeg,https://s3.amazonaws.com/popop-uploads/e80dc51df7e84fe5860e5a0372ce3374.jpeg,https://s3.amazonaws.com/popop-uploads/bc2add8e3f3941dab1db0a37f4df93a4.jpeg
8,35,4,which wallpaper is the best?,149,145,146,https://s3.amazonaws.com/popop-uploads/71125d6bdcd24b9f9c2cc9a7396b0983.jpeg,https://s3.amazonaws.com/popop-uploads/949d5083a98c45c091d29e7bdf7b3e15.jpeg,https://s3.amazonaws.com/popop-uploads/89a86c98c81545a8965392a959fad260.jpeg
9,35,6,which wallpaper is the best?,147,146,145,https://s3.amazonaws.com/popop-uploads/3f4a6cf612364723b7e4a67090876d21.jpeg,https://s3.amazonaws.com/popop-uploads/89a86c98c81545a8965392a959fad260.jpeg,https://s3.amazonaws.com/popop-uploads/949d5083a98c45c091d29e7bdf7b3e15.jpeg
10,28,6,Which social media platforms are the most helpful for everyday life?,108,107,113,https://s3.amazonaws.com/popop-uploads/95b0ca44bcb146b5b8225abc18bdb173.png,https://s3.amazonaws.com/popop-uploads/b60f6d4ba0a7478f89279e4eac2b7404.png,https://s3.amazonaws.com/popop-uploads/9c7363177beb4e62bf19d06e9fd0af47.png
